,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MB 100, POBLACION TOTAL , VIVIENDAS TOTALES ,% POBREZA TOTAL,POBLACION POBREZA TOTAL, % POBREZA EXTREMA , POBLACION POBREZA EXTREMA , % REZAGO EDUCATIVO , POBLACION REZAGO EDUCATIVO , % CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , POBLACION CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , % CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , POBLACION CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , % CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , POBLACION CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , % CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , POBLACION CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , % CARENCIA POR ACCESO A LA ALIMENTACION , POBLACION CARENCIA POR ACCESO A LA ALIMENTACION , % Población con ingreso inferior a la línea de pobreza por ingresos , Población con ingreso inferior a la línea de pobreza por ingresos , % Población con ingreso inferior a la línea de pobreza extrema por ingresos , Población con ingreso inferior a la línea de pobreza extrema por ingresos , GRADO DE REZAGO SOCIAL , %Población de 15 años o más analfabeta , % Población de 6 a 14 años que no asiste a la escuela , % Población de 15 años y más con educación básica incompleta , % Población sin derechohabiencia a servicios de salud , % Viviendas con piso de tierra , % Viviendas que no disponen de excusado o sanitario , % Viviendas que no disponen de agua entubada de la red pública , % Viviendas que no disponen de drenaje , % Viviendas que no disponen de energía eléctrica , % Viviendas que no disponen de lavadora , % Viviendas que no disponen de refrigerador , GRADO DE MARGINACION , % Población de 15 años o más analfabeta  , % Población  de 15 años o más sin educación básica , % Ocupantes en viviendas particulares sin drenaje ni excusado , % Ocupantes en viviendas particulares sin energía eléctrica , % Ocupantes en viviendas particulares sin agua entubada , % Ocupantes en viviendas particulares con piso de tierra , % Viviendas particulares con hacinamiento , % Población en localidades con menos de 5 000 habitantes , % Población ocupada con ingresos menores a 2 salarios mínimos , % VIVIENDAS CON PAREDES DE MATERIALES ENDEBLES , % VIVIENDAS CON TECHOS DE MATERIALES ENDEBLES , FAISMUN 2023 
20031,Tamazulápam del Espíritu Santo,NO," 7,185 "," 2,031 ", 88.8 ," 6,381 ", 31.50 ," 2,264 ", 42.42 ," 3,049 ", 19.67 ," 1,414 ", 81.44 ," 5,854 ", 20.24 ," 1,455 ", 59.28 ," 4,261 ", 13.89 , 999 , 93.04 ," 6,687 ", 64.69 ," 4,650 ",Alto, 26.38 , 8.14 , 63.30 , 37.55 , 19.01 , 1.38 , 0.79 , 26.64 , 2.31 , 83.85 , 56.33 ,Alto, 26.4 , 63.4 , 0.9 , 1.9 , 0.8 , 16.6 , 29.5 , 100.0 , 81.0 , 4.42 , 0.10 ," 22,491,471 "
20032,Fresnillo de Trujano,NO," 1,077 ", 319 , 75.3 , 811 , 18.99 , 205 , 38.84 , 418 , 21.94 , 236 , 67.04 , 722 , 12.70 , 137 , 60.32 , 650 , 28.38 , 306 , 77.78 , 838 , 37.70 , 406 ,Medio, 23.79 , 5.03 , 62.15 , 22.01 , 3.76 , 7.84 , 18.81 , 10.03 , 1.25 , 30.72 , 16.93 ,Alto, 23.8 , 62.1 , 6.3 , 1.0 , 20.3 , 4.1 , 23.8 , 100.0 , 93.7 , -   , -   ," 3,699,689 "
20033,Guadalupe Etla,NO," 2,929 ", 771 , 25.1 , 736 , 4.20 , 123 , 12.36 , 362 , 37.21 ," 1,090 ", 54.54 ," 1,598 ", 10.25 , 300 , 14.21 , 416 , 30.96 , 907 , 27.96 , 819 , 7.06 , 207 ,Muy bajo, 3.11 , 5.61 , 30.97 , 38.82 , 3.50 , 1.30 , 1.82 , 6.23 , 0.91 , 28.79 , 11.02 ,Muy bajo, 3.1 , 31.0 , 0.2 , 0.6 , 1.5 , 2.7 , 15.3 , 100.0 , 72.7 , 6.23 , -   ," 3,409,355 "
20034,Guadalupe de Ramírez,NO," 1,288 ", 387 , 68.3 , 880 , 14.48 , 187 , 33.97 , 438 , 17.93 , 231 , 76.46 , 986 , 8.21 , 106 , 46.60 , 601 , 22.83 , 294 , 69.63 , 898 , 31.32 , 404 ,Bajo, 12.29 , 2.83 , 60.26 , 18.94 , 2.58 , 2.84 , 8.27 , 5.94 , 0.26 , 33.07 , 15.76 ,Medio, 12.3 , 60.3 , 1.7 , 0.1 , 7.4 , 3.0 , 19.1 , 100.0 , 90.6 , -   , -   ," 3,204,998 "
20035,Guelatao de Juárez,NO, 657 , 165 , 28.4 , 186 , 1.02 , 7 , 6.52 , 43 , 13.22 , 87 , 45.47 , 299 , 3.99 , 26 , 7.25 , 48 , 5.62 , 37 , 40.18 , 264 , 13.80 , 91 ,Muy bajo, 1.61 , 2.29 , 20.97 , 12.63 , 3.03 , -   , -   , 1.82 , -   , 27.27 , 7.88 ,Muy bajo, 1.6 , 21.0 , -   , -   , -   , 2.6 , 11.5 , 100.0 , 64.7 , 1.21 , -   ," 6,892,466 "
20036,Guevea de Humboldt,NO," 5,256 "," 1,521 ", 80.6 ," 4,240 ", 24.74 ," 1,301 ", 36.43 ," 1,915 ", 10.87 , 571 , 84.36 ," 4,436 ", 25.29 ," 1,330 ", 58.34 ," 3,068 ", 50.12 ," 2,635 ", 81.27 ," 4,273 ", 39.77 ," 2,091 ",Medio, 18.01 , 6.09 , 62.67 , 13.53 , 11.37 , 3.29 , 0.92 , 8.22 , 2.70 , 78.90 , 46.09 ,Alto, 18.0 , 62.7 , 2.2 , 2.0 , 0.6 , 11.9 , 32.5 , 100.0 , 93.5 , 0.78 , 0.45 ," 13,034,965 "
20037,Mesones Hidalgo,NO," 4,424 "," 1,130 ", 87.2 ," 3,859 ", 42.90 ," 1,899 ", 42.64 ," 1,887 ", 15.31 , 677 , 86.36 ," 3,822 ", 31.05 ," 1,374 ", 86.36 ," 3,822 ", 31.31 ," 1,386 ", 87.41 ," 3,869 ", 58.22 ," 2,577 ",Alto, 24.36 , 8.00 , 65.62 , 15.28 , 12.65 , 6.11 , 2.83 , 17.26 , 4.34 , 70.62 , 26.11 ,Alto, 24.4 , 65.7 , 4.7 , 3.9 , 2.8 , 13.7 , 34.2 , 100.0 , 92.4 , 0.71 , 0.62 ," 16,079,362 "
20038,Villa Hidalgo,NO," 1,885 ", 528 , 77.3 ," 1,457 ", 19.88 , 375 , 38.91 , 734 , 33.66 , 635 , 79.76 ," 1,504 ", 20.45 , 386 , 32.68 , 616 , 9.42 , 178 , 80.38 ," 1,516 ", 43.40 , 819 ,Medio, 16.82 , 6.20 , 64.31 , 34.38 , 15.72 , 0.95 , 1.89 , 7.95 , 2.08 , 71.78 , 26.33 ,Alto, 16.8 , 64.4 , 1.3 , 2.5 , 2.3 , 16.4 , 26.5 , 100.0 , 92.8 , 2.47 , 0.38 ," 7,112,616 "
20039,Heroica Ciudad de Huajuapan de León,SI," 78,313 "," 20,221 ", 45.4 ," 34,138 ", 10.40 ," 7,817 ", 16.95 ," 12,735 ", 48.12 ," 36,161 ", 67.75 ," 50,915 ", 10.40 ," 7,813 ", 18.72 ," 14,068 ", 20.86 ," 15,676 ", 50.11 ," 37,658 ", 22.14 ," 16,640 ",Muy bajo, 5.15 , 4.20 , 31.77 , 47.84 , 5.09 , 1.35 , 6.28 , 1.81 , 0.90 , 30.92 , 14.04 ,Muy bajo, 5.2 , 31.8 , 0.8 , 0.7 , 6.6 , 5.2 , 22.7 , 28.3 , 72.7 , 3.00 , 0.13 ," 66,861,022 "
20040,Huautepec,SI," 6,385 "," 1,644 ", 97.5 ," 6,226 ", 75.29 ," 4,809 ", 46.98 ," 3,001 ", 17.17 ," 1,097 ", 91.30 ," 5,832 ", 47.23 ," 3,017 ", 95.85 ," 6,123 ", 68.59 ," 4,382 ", 97.61 ," 6,235 ", 84.67 ," 5,409 ",Muy alto, 37.14 , 10.88 , 74.20 , 17.95 , 15.27 , 1.64 , 34.85 , 74.33 , 5.84 , 96.29 , 83.76 ,Muy alto, 37.1 , 74.2 , 1.2 , 4.9 , 35.2 , 14.3 , 57.2 , 100.0 , 97.4 , 24.39 , 0.36 ," 32,155,177 "
20041,Huautla de Jiménez,SI," 31,710 "," 8,764 ", 82.0 ," 26,030 ", 40.08 ," 12,716 ", 37.11 ," 11,774 ", 27.19 ," 8,625 ", 64.45 ," 20,446 ", 42.46 ," 13,472 ", 70.75 ," 22,444 ", 36.47 ," 11,571 ", 85.22 ," 27,035 ", 55.08 ," 17,473 ",Muy alto, 27.86 , 6.54 , 57.02 , 28.29 , 27.50 , 1.93 , 25.22 , 30.60 , 3.26 , 81.82 , 66.17 ,Muy alto, 27.9 , 57.1 , 1.2 , 2.6 , 24.2 , 25.6 , 42.2 , 60.6 , 88.8 , 18.12 , 0.95 ," 98,514,892 "
20042,Ixtlán de Juárez,NO," 8,385 "," 2,306 ", 74.4 ," 6,243 ", 15.71 ," 1,318 ", 21.15 ," 1,774 ", 18.26 ," 1,532 ", 75.93 ," 6,370 ", 25.89 ," 2,172 ", 29.30 ," 2,458 ", 6.22 , 522 , 80.76 ," 6,775 ", 44.63 ," 3,744 ",Bajo, 5.62 , 3.16 , 42.22 , 24.38 , 17.74 , 0.74 , 0.30 , 8.98 , 0.65 , 53.25 , 35.86 ,Medio, 5.6 , 42.2 , 0.4 , 0.3 , 0.2 , 17.7 , 31.0 , 100.0 , 84.2 , 7.18 , 0.29 ," 13,940,436 "
20043,Heroica Ciudad de Juchitán de Zaragoza,SI," 113,570 "," 28,668 ", 50.9 ," 54,930 ", 16.03 ," 17,307 ", 22.91 ," 24,737 ", 53.68 ," 57,969 ", 68.58 ," 74,064 ", 17.91 ," 19,339 ", 28.45 ," 30,729 ", 33.00 ," 35,639 ", 53.90 ," 58,207 ", 23.08 ," 24,929 ",Bajo, 9.49 , 4.26 , 39.01 , 41.32 , 4.67 , 2.27 , 2.71 , 1.04 , 1.05 , 34.16 , 16.31 ,Bajo, 9.5 , 39.1 , 0.7 , 0.7 , 2.6 , 4.8 , 35.0 , 17.4 , 65.9 , 1.84 , 0.55 ," 119,105,354 "
20044,Loma Bonita,NO," 40,934 "," 12,785 ", 66.5 ," 22,877 ", 19.06 ," 6,560 ", 27.75 ," 9,551 ", 39.43 ," 13,570 ", 70.06 ," 24,115 ", 10.57 ," 3,638 ", 29.39 ," 10,114 ", 33.24 ," 11,441 ", 73.48 ," 25,290 ", 41.09 ," 14,144 ",Bajo, 10.41 , 6.85 , 49.64 , 30.76 , 6.61 , 2.22 , 4.58 , 8.46 , 1.12 , 34.21 , 18.67 ,Bajo, 10.4 , 49.7 , 1.4 , 0.7 , 4.6 , 6.9 , 26.3 , 23.1 , 81.6 , 1.73 , 0.05 ," 55,425,457 "
20045,Magdalena Apasco,NO," 7,888 "," 2,184 ", 27.1 ," 2,142 ", 1.92 , 151 , 9.51 , 751 , 25.36 ," 2,002 ", 43.32 ," 3,419 ", 8.08 , 638 , 5.90 , 466 , 11.48 , 906 , 32.82 ," 2,590 ", 7.32 , 578 ,Muy bajo, 1.96 , 4.09 , 27.00 , 28.55 , 3.11 , 0.60 , 1.65 , 8.65 , 0.37 , 26.47 , 10.03 ,Muy bajo, 2.0 , 27.1 , 0.3 , 0.4 , 1.7 , 3.4 , 19.6 , 100.0 , 62.6 , 2.37 , 0.31 ," 7,480,930 "
20046,Magdalena Jaltepec,NO," 2,943 ", 929 , 83.4 ," 2,456 ", 22.71 , 669 , 29.05 , 855 , 15.40 , 453 , 77.72 ," 2,288 ", 16.59 , 488 , 69.66 ," 2,051 ", 13.23 , 390 , 85.32 ," 2,512 ", 50.11 ," 1,475 ",Medio, 9.25 , 4.22 , 56.07 , 15.43 , 8.18 , 2.91 , 17.22 , 34.45 , 1.51 , 49.95 , 30.25 ,Alto, 9.3 , 56.2 , 1.7 , 1.1 , 19.0 , 7.8 , 23.7 , 100.0 , 92.1 , 3.54 , 0.21 ," 8,972,128 "
20047,Santa Magdalena Jicotlán,NO, 81 , 30 , 67.9 , 55 , 10.40 , 8 , 20.00 , 16 , 38.75 , 31 , 63.75 , 52 , 6.25 , 5 , 52.50 , 43 , 15.00 , 12 , 69.69 , 56 , 35.79 , 29 ,Bajo, 5.71 , -   , 54.29 , 38.27 , 3.33 , -   , -   , 16.67 , -   , 60.00 , 10.00 ,Bajo, 5.7 , 54.3 , -   , -   , -   , 6.2 , 10.0 , 100.0 , 100.0 , -   , -   ," 1,883,559 "
20048,Magdalena Mixtepec,SI," 1,433 ", 283 , 95.7 ," 1,372 ", 56.23 , 806 , 28.32 , 406 , 16.10 , 231 , 92.74 ," 1,330 ", 53.77 , 771 , 97.92 ," 1,404 ", 10.50 , 151 , 95.69 ," 1,372 ", 74.83 ," 1,073 ",Muy alto, 12.66 , 2.37 , 58.72 , 15.84 , 36.40 , 2.83 , 0.71 , 92.93 , 3.18 , 83.75 , 71.02 ,Alto, 12.7 , 58.7 , 2.3 , 2.5 , 0.8 , 36.1 , 59.0 , 100.0 , 96.7 , 2.21 , 0.37 ," 5,947,533 "
20049,Magdalena Ocotlán,NO," 1,184 ", 315 , 75.6 , 896 , 28.15 , 334 , 24.98 , 296 , 42.55 , 504 , 65.03 , 771 , 38.85 , 460 , 87.08 ," 1,032 ", 9.13 , 108 , 76.78 , 910 , 40.02 , 474 ,Medio, 6.91 , 1.01 , 46.49 , 45.61 , 30.79 , 0.95 , 18.10 , 74.60 , 1.27 , 50.16 , 23.49 ,Alto, 6.9 , 46.5 , 0.3 , 0.8 , 19.7 , 30.5 , 29.8 , 100.0 , 81.8 , 14.33 , -   ," 3,402,196 "
20050,Magdalena Peñasco,NO," 3,750 ", 980 , 91.3 ," 3,425 ", 29.70 ," 1,114 ", 36.62 ," 1,374 ", 13.21 , 496 , 71.58 ," 2,686 ", 22.23 , 834 , 94.76 ," 3,556 ", 8.03 , 301 , 92.11 ," 3,456 ", 61.90 ," 2,322 ",Alto, 27.39 , 2.03 , 63.78 , 12.80 , 15.61 , 1.12 , 11.33 , 91.33 , 2.76 , 63.06 , 63.27 ,Alto, 27.4 , 63.8 , 0.7 , 1.9 , 11.4 , 13.7 , 25.5 , 100.0 , 97.6 , 2.45 , 0.10 ," 13,256,176 "
20051,Magdalena Teitipac,SI," 4,764 "," 1,012 ", 94.1 ," 4,487 ", 48.98 ," 2,334 ", 60.92 ," 2,903 ", 43.34 ," 2,066 ", 91.01 ," 4,337 ", 36.53 ," 1,741 ", 83.43 ," 3,976 ", 10.34 , 493 , 94.28 ," 4,493 ", 62.86 ," 2,996 ",Muy alto, 24.39 , 13.11 , 88.24 , 43.07 , 21.94 , 1.68 , 50.99 , 43.08 , 0.89 , 67.49 , 35.28 ,Muy alto, 24.4 , 88.3 , 0.5 , 0.6 , 51.6 , 22.2 , 45.2 , 100.0 , 96.3 , 2.95 , 0.39 ," 18,483,847 "
20052,Magdalena Tequisistlán,NO," 5,996 "," 1,884 ", 60.5 ," 3,629 ", 14.21 , 853 , 22.37 ," 1,342 ", 16.60 , 996 , 68.73 ," 4,123 ", 22.35 ," 1,341 ", 52.77 ," 3,166 ", 26.56 ," 1,594 ", 66.11 ," 3,966 ", 27.88 ," 1,673 ",Bajo, 10.02 , 7.26 , 42.54 , 16.83 , 10.93 , 4.19 , 4.56 , 4.78 , 4.19 , 54.56 , 20.22 ,Medio, 10.0 , 42.5 , 2.9 , 3.4 , 3.9 , 11.2 , 25.2 , 100.0 , 80.5 , 2.34 , 1.36 ," 11,692,606 "
20053,Magdalena Tlacotepec,NO," 1,297 ", 419 , 34.0 , 441 , 4.75 , 62 , 23.37 , 303 , 27.14 , 352 , 40.00 , 519 , 10.27 , 133 , 31.53 , 409 , 3.76 , 49 , 38.50 , 500 , 10.82 , 140 ,Bajo, 10.89 , 4.32 , 42.97 , 28.06 , 2.86 , 4.06 , 5.49 , 4.06 , 0.24 , 44.15 , 8.59 ,Bajo, 10.9 , 43.0 , 3.5 , 0.1 , 5.7 , 3.2 , 16.0 , 100.0 , 65.8 , 1.19 , 0.95 ," 3,324,451 "
20054,Magdalena Zahuatlán,NO, 404 , 130 , 84.4 , 341 , 24.40 , 99 , 21.36 , 86 , 11.31 , 46 , 78.14 , 316 , 21.86 , 88 , 61.56 , 249 , 25.38 , 103 , 86.98 , 351 , 54.11 , 219 ,Medio, 6.11 , 3.39 , 50.16 , 11.39 , 13.85 , 3.08 , 0.77 , 42.31 , 2.31 , 52.31 , 33.08 ,Medio, 6.1 , 50.2 , 1.0 , 1.5 , 1.0 , 14.6 , 26.9 , 100.0 , 88.9 , 4.62 , -   ," 1,888,674 "
20055,Mariscala de Juárez,NO," 3,739 "," 1,074 ", 68.1 ," 2,546 ", 15.38 , 575 , 31.99 ," 1,197 ", 17.53 , 656 , 80.63 ," 3,016 ", 16.24 , 608 , 45.43 ," 1,700 ", 20.30 , 759 , 69.52 ," 2,601 ", 29.89 ," 1,118 ",Bajo, 10.71 , 8.53 , 58.38 , 17.81 , 2.23 , 4.75 , 6.52 , 5.77 , 0.56 , 23.18 , 17.97 ,Medio, 10.7 , 58.4 , 3.2 , 0.4 , 5.2 , 2.6 , 26.1 , 100.0 , 86.7 , 0.93 , 0.19 ," 5,785,984 "
20056,Mártires de Tacubaya,NO," 1,446 ", 409 , 64.3 , 930 , 21.65 , 313 , 30.03 , 435 , 21.17 , 306 , 79.47 ," 1,150 ", 45.43 , 657 , 66.95 , 969 , 46.55 , 674 , 65.07 , 942 , 27.02 , 391 ,Medio, 12.89 , 1.66 , 53.29 , 21.65 , 10.51 , 10.76 , 3.91 , 11.25 , 1.47 , 53.06 , 19.32 ,Alto, 12.9 , 53.3 , 9.7 , 0.5 , 3.4 , 12.9 , 43.3 , 100.0 , 91.0 , 11.49 , 0.24 ," 3,059,213 "
20057,Matías Romero Avendaño,NO," 38,183 "," 11,333 ", 58.8 ," 21,373 ", 17.48 ," 6,354 ", 23.09 ," 8,393 ", 45.88 ," 16,678 ", 64.66 ," 23,504 ", 10.71 ," 3,894 ", 46.64 ," 16,953 ", 28.05 ," 10,195 ", 63.57 ," 23,106 ", 29.98 ," 10,896 ",Bajo, 9.64 , 4.54 , 41.37 , 33.61 , 4.28 , 2.05 , 12.19 , 3.98 , 1.31 , 38.68 , 17.47 ,Medio, 9.6 , 41.4 , 1.4 , 1.1 , 12.6 , 4.4 , 25.1 , 54.1 , 79.6 , 0.94 , 0.48 ," 55,271,501 "
20058,Mazatlán Villa de Flores,SI," 12,722 "," 3,587 ", 95.6 ," 12,164 ", 56.47 ," 7,187 ", 44.96 ," 5,722 ", 11.19 ," 1,425 ", 81.83 ," 10,415 ", 53.85 ," 6,854 ", 72.52 ," 9,231 ", 43.93 ," 5,592 ", 96.53 ," 12,287 ", 79.09 ," 10,066 ",Muy alto, 32.10 , 8.28 , 69.74 , 11.26 , 40.84 , 3.54 , 7.95 , 15.25 , 3.37 , 92.39 , 72.26 ,Muy alto, 32.1 , 69.8 , 2.5 , 3.0 , 7.1 , 41.5 , 44.5 , 100.0 , 96.5 , 1.14 , 0.75 ," 46,505,956 "
20059,Miahuatlán de Porfirio Díaz,SI," 50,375 "," 13,000 ", 66.0 ," 36,940 ", 24.12 ," 13,492 ", 28.06 ," 15,698 ", 69.70 ," 38,987 ", 77.95 ," 43,602 ", 18.44 ," 10,314 ", 46.64 ," 26,088 ", 20.58 ," 11,511 ", 69.17 ," 38,690 ", 34.79 ," 19,458 ",Medio, 10.80 , 4.95 , 45.47 , 44.32 , 17.45 , 1.30 , 8.83 , 18.37 , 1.46 , 60.81 , 28.25 ,Medio, 10.8 , 44.8 , 0.8 , 1.3 , 9.2 , 17.9 , 29.7 , 42.2 , 76.5 , 7.46 , 0.24 ," 86,716,145 "
20060,Mixistlán de la Reforma,NO," 2,487 ", 644 , 89.3 ," 2,222 ", 28.29 , 704 , 28.17 , 701 , 13.32 , 331 , 83.06 ," 2,067 ", 22.25 , 553 , 75.33 ," 1,874 ", 18.63 , 463 , 90.59 ," 2,254 ", 57.71 ," 1,436 ",Alto, 18.71 , 2.39 , 57.44 , 13.31 , 20.65 , 2.64 , 5.28 , 34.78 , 5.75 , 91.46 , 79.35 ,Alto, 18.7 , 57.5 , 1.5 , 3.8 , 3.3 , 17.7 , 26.7 , 100.0 , 95.7 , 4.04 , 1.40 ," 9,275,651 "
20061,Monjas,NO," 2,893 ", 799 , 75.7 ," 2,190 ", 23.45 , 679 , 42.07 ," 1,218 ", 16.59 , 480 , 86.22 ," 2,495 ", 27.07 , 783 , 73.64 ," 2,131 ", 13.22 , 382 , 75.99 ," 2,199 ", 36.24 ," 1,049 ",Alto, 22.88 , 11.72 , 65.68 , 17.11 , 19.77 , 9.14 , 21.28 , 39.80 , 2.13 , 63.70 , 34.67 ,Muy alto, 22.9 , 65.7 , 7.4 , 1.5 , 21.3 , 20.0 , 31.7 , 100.0 , 88.5 , 5.13 , 0.25 ," 8,460,691 "
20062,Natividad,NO, 498 , 155 , 46.1 , 230 , 4.41 , 22 , 16.57 , 82 , 18.18 , 91 , 60.61 , 302 , 9.29 , 46 , 10.30 , 51 , 8.89 , 44 , 52.19 , 260 , 19.00 , 95 ,Bajo, 4.33 , 1.61 , 41.73 , 18.88 , 9.03 , -   , -   , 1.29 , 0.65 , 37.42 , 12.26 ,Bajo, 4.3 , 41.7 , -   , 0.6 , -   , 7.4 , 21.9 , 100.0 , 85.8 , 1.29 , -   ," 1,809,517 "
20063,Nazareno Etla,NO," 4,293 "," 1,127 ", 40.4 ," 1,733 ", 5.16 , 222 , 8.43 , 362 , 32.38 ," 1,391 ", 54.09 ," 2,323 ", 8.91 , 383 , 16.71 , 718 , 15.23 , 654 , 47.23 ," 2,029 ", 13.18 , 566 ,Muy bajo, 1.38 , 3.91 , 23.68 , 34.33 , 2.22 , 0.71 , 7.36 , 3.82 , 0.98 , 26.00 , 9.76 ,Muy bajo, 1.4 , 23.7 , 0.5 , 0.7 , 7.6 , 2.1 , 16.0 , 100.0 , 72.6 , 2.84 , 0.27 ," 3,774,539 "
20064,Nejapa de Madero,NO," 8,494 "," 2,335 ", 66.7 ," 5,671 ", 13.77 ," 1,170 ", 25.79 ," 2,192 ", 19.84 ," 1,686 ", 74.95 ," 6,369 ", 27.88 ," 2,369 ", 64.85 ," 5,511 ", 19.12 ," 1,625 ", 67.99 ," 5,778 ", 26.60 ," 2,261 ",Medio, 7.62 , 5.95 , 51.80 , 25.79 , 14.43 , 1.80 , 3.81 , 6.94 , 3.00 , 52.89 , 27.79 ,Medio, 7.6 , 51.8 , 1.2 , 2.9 , 3.7 , 15.2 , 28.2 , 100.0 , 88.4 , 2.77 , 0.18 ," 17,598,857 "
20065,Ixpantepec Nieves,NO," 1,079 ", 349 , 85.5 , 924 , 33.09 , 357 , 51.28 , 554 , 47.86 , 517 , 72.22 , 780 , 19.51 , 211 , 53.09 , 573 , 29.50 , 319 , 86.28 , 932 , 52.14 , 563 ,Medio, 28.54 , 2.17 , 75.03 , 47.82 , 11.46 , 5.73 , 3.72 , 5.16 , 2.01 , 53.58 , 24.64 ,Alto, 28.5 , 75.0 , 3.1 , 1.7 , 3.5 , 10.5 , 23.2 , 100.0 , 96.5 , 2.58 , 0.57 ," 4,517,751 "
20066,Santiago Niltepec,NO," 5,342 "," 1,727 ", 65.5 ," 3,500 ", 12.18 , 651 , 29.87 ," 1,596 ", 22.24 ," 1,188 ", 72.98 ," 3,900 ", 12.38 , 661 , 42.90 ," 2,293 ", 36.74 ," 1,964 ", 68.55 ," 3,664 ", 23.25 ," 1,242 ",Bajo, 13.93 , 7.74 , 50.32 , 22.09 , 3.47 , 2.78 , 3.88 , 2.90 , 2.49 , 37.52 , 18.70 ,Medio, 13.9 , 50.4 , 2.1 , 1.6 , 3.5 , 3.9 , 20.0 , 100.0 , 83.3 , 1.70 , 0.23 ," 10,422,725 "
20067,Oaxaca de Juárez,SI," 270,955 "," 74,336 ", 34.0 ," 93,304 ", 7.87 ," 21,605 ", 10.41 ," 28,599 ", 49.58 ," 136,159 ", 59.25 ," 162,739 ", 11.73 ," 32,219 ", 12.91 ," 35,466 ", 17.77 ," 48,802 ", 37.98 ," 104,312 ", 14.25 ," 39,144 ",Muy bajo, 2.71 , 4.31 , 21.55 , 36.27 , 4.83 , 1.10 , 4.79 , 1.96 , 0.52 , 34.36 , 11.92 ,Muy bajo, 2.7 , 21.6 , 0.1 , 0.5 , 5.3 , 5.2 , 17.4 , 1.3 , 65.0 , 7.82 , 0.45 ," 175,910,007 "
20068,Ocotlán de Morelos,NO," 23,751 "," 6,040 ", 51.6 ," 12,733 ", 15.42 ," 3,804 ", 20.57 ," 5,077 ", 56.83 ," 14,025 ", 74.52 ," 18,390 ", 17.93 ," 4,426 ", 42.13 ," 10,396 ", 19.96 ," 4,926 ", 53.81 ," 13,279 ", 22.05 ," 5,441 ",Bajo, 7.27 , 5.01 , 38.28 , 42.92 , 18.56 , 1.36 , 20.93 , 19.44 , 1.13 , 42.73 , 24.60 ,Medio, 7.3 , 38.3 , 0.9 , 0.9 , 22.0 , 19.6 , 27.5 , 29.9 , 74.9 , 9.98 , 0.36 ," 33,543,749 "
20069,La Pe,NO," 3,052 ", 780 , 89.7 ," 2,737 ", 29.05 , 887 , 39.26 ," 1,198 ", 10.22 , 312 , 92.85 ," 2,835 ", 35.40 ," 1,081 ", 88.20 ," 2,693 ", 20.40 , 623 , 89.70 ," 2,738 ", 44.21 ," 1,350 ",Alto, 13.31 , 18.32 , 62.74 , 10.42 , 16.79 , 0.64 , 6.92 , 76.54 , 1.03 , 63.33 , 59.36 ,Alto, 13.3 , 62.8 , 0.4 , 0.7 , 7.6 , 17.4 , 45.8 , 100.0 , 93.5 , 19.36 , 1.79 ," 7,439,587 "
20070,Pinotepa de Don Luis,NO," 6,416 "," 1,660 ", 83.9 ," 5,385 ", 39.80 ," 2,555 ", 30.45 ," 1,955 ", 15.06 , 967 , 78.35 ," 5,029 ", 33.41 ," 2,145 ", 74.46 ," 4,779 ", 42.60 ," 2,734 ", 86.56 ," 5,557 ", 53.47 ," 3,432 ",Medio, 19.77 , 3.41 , 51.89 , 14.62 , 15.84 , 5.90 , 9.04 , 7.47 , 2.41 , 86.08 , 42.59 ,Alto, 19.8 , 52.0 , 5.8 , 2.6 , 9.9 , 16.7 , 35.7 , 14.7 , 88.4 , 4.85 , 1.58 ," 20,538,700 "
20071,Pluma Hidalgo,NO," 3,255 ", 857 , 76.9 ," 2,506 ", 28.93 , 942 , 34.59 ," 1,127 ", 27.60 , 899 , 86.11 ," 2,804 ", 51.64 ," 1,682 ", 78.52 ," 2,557 ", 24.20 , 788 , 77.46 ," 2,523 ", 36.79 ," 1,198 ",Alto, 17.71 , 9.24 , 57.31 , 28.45 , 21.00 , 2.92 , 6.30 , 48.42 , 5.60 , 82.38 , 53.21 ,Alto, 17.7 , 57.3 , 2.5 , 5.3 , 6.0 , 22.7 , 48.4 , 100.0 , 89.3 , 31.43 , 0.35 ," 10,911,234 "
20072,San José del Progreso,NO," 8,059 "," 2,099 ", 79.3 ," 6,392 ", 27.06 ," 2,182 ", 30.81 ," 2,484 ", 19.67 ," 1,586 ", 80.17 ," 6,464 ", 25.68 ," 2,070 ", 79.06 ," 6,375 ", 27.47 ," 2,215 ", 80.84 ," 6,518 ", 39.75 ," 3,205 ",Alto, 11.22 , 8.37 , 54.49 , 20.81 , 15.05 , 3.72 , 28.35 , 56.36 , 1.24 , 53.31 , 44.83 ,Alto, 11.2 , 54.5 , 2.6 , 1.2 , 27.5 , 14.6 , 35.1 , 100.0 , 77.9 , 5.19 , 0.71 ," 17,426,652 "
